Source,Target,Cosine_similarity
0,1,0.87719977
0,2,0.791145
0,3,0.8960995
0,4,0.92298454
0,5,0.8977415
0,6,0.935734
0,7,0.9570477
0,8,0.9019414
0,9,0.9199215
0,10,0.8946274
0,11,0.9478532
0,12,0.95021474
0,13,0.9008345
0,14,0.8243694
0,15,0.90487736
0,16,0.92466515
0,17,0.91059583
0,18,0.80526143
0,19,0.9377023
0,20,0.91997993
0,21,0.926568
0,22,0.9092691
0,23,0.89994925
0,24,0.9578956
0,25,0.85399276
0,26,0.9336445
0,27,0.9365162
0,28,0.86625004
0,29,0.8199608
0,30,0.92574495
0,31,0.747859
0,32,0.81881917
0,33,0.93441373
0,34,0.8829308
0,35,0.5854445
0,36,0.74472195
0,37,0.90804154
0,38,0.96123534
0,39,0.95907605
0,40,0.93591326
0,41,0.93455166
0,42,0.88384295
0,43,0.8501816
0,44,0.89688855
0,45,0.9020648
0,46,0.96026295
0,47,0.9142241
0,48,0.83334947
0,49,0.9447524
0,50,0.8644063
0,51,0.8908182
0,52,0.951049
0,53,0.80019873
0,54,0.8663088
0,55,0.93227655
0,56,0.93678814
0,57,0.9387154
0,58,0.92726266
0,59,0.9495953
0,60,0.87862355
0,61,0.8719051
0,62,0.8550178
0,63,0.92222553
0,64,0.83276284
0,65,0.9440553
0,66,0.86409724
0,67,0.90843105
0,68,0.85735697
0,69,0.9516072
0,70,0.9209189
0,71,0.88347405
0,72,0.96407175
0,73,0.90700394
0,74,0.9127114
0,75,0.9433894
0,76,0.9114418
0,77,0.9088225
0,78,0.9316592
0,79,0.83818513
0,80,0.91194785
0,81,0.9535649
0,82,0.91400135
0,83,0.94431275
0,84,0.92598736
0,85,0.9419147
0,86,0.90265423
0,87,0.9398919
0,88,0.9237941
0,89,0.8877392
0,90,0.88567096
0,91,0.9622433
0,92,0.9496873
0,93,0.7894448
0,94,0.7585366
0,95,0.897767
0,96,0.91554594
0,97,0.88310087
0,98,0.87819165
0,99,0.9406269
1,0,0.87719977
1,2,0.68867654
1,3,0.8341485
1,4,0.88563275
1,5,0.81790304
1,6,0.8204922
1,7,0.93184584
1,8,0.9047422
1,9,0.9029102
1,10,0.8182346
1,11,0.8104528
1,12,0.8639243
1,13,0.9207437
1,14,0.7129113
1,15,0.78154874
1,16,0.81127477
1,17,0.79361963
1,18,0.7739243
1,19,0.8875057
1,20,0.8259987
1,21,0.8610422
1,22,0.77571094
