Id,Label
0,Title
1,A Bayesian cognition approach for belief updating of correlation judgement through uncertainty visualizations
2,A Design Space of Vision Science Methods for Visualization Research
3,A Generic Framework and Library for Exploration of Small Multiples through Interactive Piling
4,A Simple Pipeline for Coherent Grid Maps
5,A Structured Review of Data Management Technology for Interactive Visualization and Analysis
6,A Survey of Text Alignment Visualization
7,Bayesian-Assisted Inference from Visualized Data
8,Calliope: Automatic Visual Data Story Generation from a Spreadsheet
9,Cartographic Relief Shading with Neural Networks
10,Chartem: Reviving Chart Images with Data Embedding
11,Chemicals in the Creek: designing a situated data physicalization of open government data with the community
12,Communicative Visualizations as a Learning Problem
13,"Comparative Layouts Revisited: Design Space, Guidelines, and Future Directions"
14,Composition and Configuration Patterns in Multiple-View Visualizations
15,Context-aware Sampling of Large Networks via Graph Representation Learning
16,Data Comics for Reporting Controlled User Studies in Human-Computer Interaction
17,Data Visceralization: Enabling Deeper Understanding of Data Using Virtual Reality
18,Designing Narrative-Focused Role-Playing Games for Visualization Literacy in Young Children
19,DRGraph: An Efficient Graph Layout Algorithm for Large-scale Graphs by Dimensionality Reduction
20,Embodied Navigation in Immersive Abstract Data Visualization: Is Overview+Detail or Zooming Better for 3D Scatterplots?
21,Exemplar-based Layout Fine-tuning for Node-link Diagrams
22,Gemini: A Grammar and Recommender System for Animated Transitions in Statistical Graphics
23,Guidelines For Pursuing and Revealing Data Abstractions
24,Humane Visual AI: Telling the Stories Behind a Medical Condition
25,Implicit Multidimensional Projection of Local Subspaces
26,Insights From Experiments With Rigor in an EvoBio Design Study
27,Introducing Layers of Meaning (LoM): A Framework to Reduce Semantic Distance of Visualization In Humanistic Research
28,Investigating Visual Analysis of Differentially Private Data
29,Kyrix-S: Authoring Scalable Scatterplot Visualizations of Big Data
30,Lyra 2: Designing Interactive Visualizations by Demonstration
31,MetroSets: Visualizing Sets as Metro Maps
32,MobileVisFixer: Tailoring Web Visualizations for Mobile Phones Leveraging an Explainable Reinforcement Learning Framework
33,Modeling the Influence of Visual Density on Cluster Perception in Scatterplots Using Topology
34,"Multi-Perspective, Simultaneous Embedding"
35,NL4DV: A Toolkit for Generating Analytic Specifications for Data Visualization from Natural Language Queries
36,No mark is an island: Precision and category repulsion biases in data reproductions
37,Palettailor: Discriminable Colorization for Categorical Data
38,Personal Augmented Reality for Information Visualization on Large Interactive Displays
39,PlotThread: Creating Expressive Storyline Visualizations using Reinforcement Learning
40,QualDash: Adaptable Generation of Visualisation Dashboards for Healthcare Quality Improvement
41,Rainbows Revisited: Modeling Effective Colormap Design for Graphical Inference
42,Responsive Matrix Cells: A Focus+Context Approach for Exploring and Editing Multivariate Graphs
43,Retrieve-Then-Adapt: Example-based Automatic Generation for Proportion-related Infographics
44,Revealing Perceptual Proxies with Adversarial Examples
45,Revisited: Comparison of Empirical Methods to Evaluate Visualizations Supporting Crafting and Assembly Purposes
46,SafetyLens: Visual Data Analysis of Functional Safety of Vehicles
47,Scalability of Network Visualisation from a Cognitive Load Perspective
48,Semantic Discriminability for Visual Communication
49,Sequence Braiding: Visual Overviews of Temporal Event Sequences and Attributes
50,Shared Surfaces and Spaces: Collaborative Data Visualisation in a Co-located Immersive Environment
51,ShuttleSpace: Exploring and Analyzing Movement Trajectory in Immersive Visualization
52,SineStream: Improving the Readability of Streamgraphs by Minimizing Sine Illusion Effects
53,Staged Animation Strategies for Online Dynamic Networks
54,StructGraphics: Flexible Visualization Design through Data-Agnostic and Reusable Graphical Structures
55,Table Scraps: An Actionable Framework for Multi-Table Data Wrangling From An Artifact Study of Computational Journalism
56,The Effectiveness of Interactive Visualization Techniques for Time Navigation of Dynamic Graphs on Large Displays
57,Towards Modeling Visualization Processes as Dynamic Bayesian Networks
58,Truth or Square: Aspect Ratio Biases Recall of Position Encodings
59,VisCode: Embedding Information in Visualization Images using Encoder-Decoder Network
60,VisConnect: Distributed Event Synchronization for Collaborative Visualization
61,Visual Analysis of Discrimination in Machine Learning
62,Visual Reasoning Strategies for Effect Size Judgments and Decisions
63,What Makes a Data-GIF Understandable?
